
 num     #instances         #bytes  class name
 220:             9            864  javax.swing.ScrollPaneLayout$UIResource
 221:             4            832  com.sun.java.swing.plaf.windows.WindowsToolBarUI
 222:            25            808  [Ljava.security.ProtectionDomain;
 223:            20            800  java.io.RandomAccessFile
 224:            10            800  sun.java2d.d3d.D3DMaskFill
 225:             1            800  javax.swing.JCheckBox
 226:             9            792  [Lsun.awt.SunHints$Value;
 227:            11            792  java.util.WeakHashMap
 228:             1            784  de.schmiereck.noiseComp.swingView.modulenputTypeSelect.ModulenputTypeSelectView
 229:            14            784  javax.swing.plaf.basic.BasicTextUI$TextActionWrapper
 230:             1            784  de.schmiereck.noiseComp.swingView.inputSelect.InputSelectView
 231:             1            776  de.schmiereck.noiseComp.swingView.moduleTree.ModulesTreeView$1
 232:             8            768  de.schmiereck.noiseComp.timeline.Timeline
 233:            24            768  de.schmiereck.dataTools.VectorHash
 234:             1            760  de.schmiereck.noiseComp.swingView.moduleTree.ModulesTreeView
 235:            19            760  sun.java2d.loops.CompositeType
 236:            31            744  javax.swing.Timer$DoPostEvent
 237:             1            736  de.schmiereck.noiseComp.swingView.modulenputs.ModulenputTypesView
 238:             1            728  de.schmiereck.noiseComp.swingView.timelineSelect.TimelinesScrollPanelView
 239:            10            720  javax.swing.DefaultListSelectionModel
 240:            10            720  sun.misc.URLClassPath$JarLoader
 241:            11            704  sun.font.FontFamily
 242:             5            680  javax.swing.plaf.basic.BasicListUI
 243:            14            672  javax.swing.text.DefaultHighlighter$SafeDamager
 244:            14            672  javax.swing.plaf.basic.BasicTextUI$BasicHighlighter
 245:            14            672  javax.swing.plaf.basic.BasicTextUI$RootView
 246:            14            672  javax.swing.plaf.basic.BasicTextUI$FocusAction
 247:             1            664  de.schmiereck.noiseComp.swingView.inputEdit.InputEditView
 248:             1            664  javax.swing.DefaultListCellRenderer
 249:             1            664  de.schmiereck.noiseComp.swingView.modulenputTypeEdit.ModulenputTypeEditView
 250:             1            656  de.schmiereck.noiseComp.swingView.timelineEdit.TimelineEditView
 251:             9            648  javax.swing.BoxLayout
 252:             3            648  [Lsun.font.EAttribute;
 253:             8            640  sun.java2d.d3d.D3DSwToSurfaceTransform
 254:             1            640  de.schmiereck.noiseComp.swingView.modulEdit.ModulEditView
 255:             8            640  sun.java2d.d3d.D3DSwToSurfaceScale
 256:             8            640  sun.java2d.d3d.D3DSwToTextureBlit
 257:            20            640  java.lang.StringBuffer
 258:             8            640  sun.java2d.d3d.D3DSwToSurfaceBlit
 259:             1            640  de.schmiereck.noiseComp.swingView.timelineSelect.TimelinesDrawPanelView
 260:             8            640  sun.font.FontStrikeDisposer
 261:            20            640  sun.nio.ch.NativeThreadSet
 262:             1            624  javax.swing.JMenuBar
 263:             6            624  sun.reflect.DelegatingClassLoader
 264:            11            616  javax.sound.sampled.AudioFormat
 265:             1            616  de.schmiereck.noiseComp.swingView.timelineSelect.TimelinesGeneratorsRuleView
 266:             7            616  sun.java2d.windows.GDIBlitLoops
 267:             1            608  de.schmiereck.noiseComp.swingView.timelineSelect.TimelinesTimeRuleView
 268:             1            608  javax.swing.JPopupMenu$Separator
 269:            19            608  java.lang.StringBuilder
 270:             3            600  com.sun.java.swing.plaf.windows.WindowsMenuUI
 271:            15            600  javax.swing.plaf.basic.LazyActionMap
 272:             8            576  de.schmiereck.noiseComp.swingView.timelineSelect.TimelineSelectEntryModel
 273:             6            576  sun.java2d.d3d.D3DMaskBlit
 274:             9            576  sun.java2d.pipe.PixelToParallelogramConverter
 275:            14            560  javax.swing.plaf.basic.BasicTextUI$UpdateHandler
 276:            14            560  javax.swing.text.JTextComponent$KeymapWrapper
